user_id,place_id,place_ratings
1,1,1.0
Wx9qWR2QLJdezf273x8jF9WcOe02,9,3.5
ePzpIPG72DQkZuQ023aWPYUwfe63,19,4.0
ePzpIPG72DQkZuQ023aWPYUwfe63,13,4.0
ePzpIPG72DQkZuQ023aWPYUwfe63,19,2.5
ePzpIPG72DQkZuQ023aWPYUwfe63,19,4.5
fy8MJ3IpNHSyynbpwtOcxW46J6t2,1,5.0
fy8MJ3IpNHSyynbpwtOcxW46J6t2,10,5.0
fy8MJ3IpNHSyynbpwtOcxW46J6t2,3,5.0
fy8MJ3IpNHSyynbpwtOcxW46J6t2,7,4.5
kYr1RrVbfQV5SYow65AOYXn6twk1,1,5.0
kYr1RrVbfQV5SYow65AOYXn6twk1,1,5.0
fy8MJ3IpNHSyynbpwtOcxW46J6t2,19,3.0
fy8MJ3IpNHSyynbpwtOcxW46J6t2,1,4.5
fy8MJ3IpNHSyynbpwtOcxW46J6t2,20,5.0
